Terrain Modding,Basic,gold,<nbr>,,Gold income for the terrain when owned.,
Terrain Modding,Basic ,apcost,<nbr>,,Action Point cost for moving through the terrain.,
Terrain Modding,Basic ,dead,<nbr>,,The location starts with <nbr> * d6 corpses in it.,
Terrain Modding,Basic ,fungus,<nbr>,,Fungus income for the terrain when owned.,
Terrain Modding,Basic ,gems,<nbr>,,A bitmask value that determines the gem income of the location. See the Gem Income Bitmask table. Note that you can add multiple 1 income values together to create a higher income value of a certain type of gem. Maximum income for a single gem type is 7.,
Terrain Modding,Basic ,hands,<nbr>,,Hands of Glory income for the terrain when owned.,
Terrain Modding,Basic ,herbs,<nbr>,,Herb income for the terrain when owned.,
Terrain Modding,Basic ,iron,<nbr>,,Iron income for the terrain when owned.,
Terrain Modding,Basic ,lifeforce,<nbr>,,Sets amount of lifeforce that can be drained from the square * 10. A plain has 10 and a forest 30. Negative values means square drain lifeforce with this radius (Pillar of Power has a value of -1).,
Terrain Modding,Basic ,name,name,,Name of the terrain type.,
Terrain Modding,Basic ,pop,<nbr>,,A value indicating the size of humanlike population. Farm = 5  City = 50.,
Terrain Modding,Basic ,sacr,<nbr>,,Sacrifice income for the terrain when owned.,
Terrain Modding,Basic ,spr,image.tga,,Sets the image file for the terrain square.,
Terrain Modding,Basic ,trade,<nbr>,,Trade value of the terrain when owned.,
Terrain Modding,Basic ,weed,<nbr>,,Weed income for the terrain when owned.,
Terrain Modding,Clear,clearfort,,,Clears the fort attributes of the selected terrain.,
Terrain Modding,Clear,clearspec,,,Clears the special attributes of the selected terrain.,
Terrain Modding,Special,anchored,,,Dimensionally anchored location.,
Terrain Modding,Special,barricade,,,Wooden barricade gate,
Terrain Modding,Special,batmap,<batmap nbr>,,Associates the terrain with a certain battle map. See table Battle Maps. This is usually used for fortified locations  but villages also have a battle map.,
Terrain Modding,Special,bonusrelics,<value>,,Get this number of extra relics from this location. By default the amount of relics is one less than the amount of sacrifices earned.,
Terrain Modding,Special,bramblegate,,,Bramble gate,
Terrain Modding,Special,burnable,,,The terran can be burned like forest.,
Terrain Modding,Special,cave,,,The terrain counts as a cave.,
Terrain Modding,Special,citadel,,,The terrain functions as a citadel when owned.,
Terrain Modding,Special,cityname,,,This terrain should start with a random city name.,
Terrain Modding,Special,cloudgate,,,Cloud gate,
Terrain Modding,Special,deepspawn,,,Hybrid fishermen can appear here.,
Terrain Modding,Special,desert,,,The terrain counts as a desert for the purposes of abilities like Desert Move.,
Terrain Modding,Special,desertok,,,The terrain can appear in the southern portion of the map.,
Terrain Modding,Special,earthbarricade,,,Earth barricade gate,
Terrain Modding,Special,el,,,Terrain starts as converted to the worship of El.,
Terrain Modding,Special,enchantedgate,,,The fort has an enchanted gate,
Terrain Modding,Special,farsight,,,The terrain gives increased vision range when there are units present there. Watchtowers and some citadels have this attribute.,
Terrain Modding,Special,farvis,,,Can be seen from far away.,
Terrain Modding,Special,forest,,,The terrain counts as forest for the purposes of abilities like Forest Stealth.,
Terrain Modding,Special,forestcitadel,,,Can be used as citadel by the Troll King.,
Terrain Modding,Special,goldboost,,,The terrain provides a global boost to gold income when owned.,
Terrain Modding,Special,hardfly,,,Difficult to fly here  costs 2 AP.,
